weekday,time,count,sum,average
7,29400,3,332,110
7,30000,2,174,87
7,30600,3,387,129
7,31200,2,178,89
7,31800,0,0,0
7,32400,4,548,137
7,33000,2,189,94
7,33600,0,0,0
7,34200,0,0,0
7,34800,4,383,95
7,35400,0,0,0
7,36000,2,76,38
7,36600,0,0,0
7,37200,3,67,22
7,37800,1,20,20
7,38400,3,133,44
7,39000,1,73,73
7,39600,4,155,38
7,40200,1,69,69
7,40800,4,189,47
7,41400,2,79,39
7,42000,5,239,47
7,42600,4,278,69
7,43200,6,307,51
7,43800,4,211,52
7,44400,2,72,36
7,45000,5,288,57
7,45600,5,205,41
7,46200,5,274,54
7,46800,6,314,52
7,47400,6,322,53
7,48000,4,175,43
7,48600,6,277,46
7,49200,8,420,52
7,49800,6,343,57
7,50400,6,387,64
7,51000,6,413,68
7,51600,0,0,0
7,52200,6,421,70
7,52800,6,441,73
7,53400,6,473,78
7,54000,6,480,80
7,54600,6,514,85
7,55200,6,534,89
7,55800,6,539,89
7,56400,6,547,91
7,57000,6,555,92
7,57600,5,473,94
7,58200,6,537,89
7,58800,1,92,92
7,59400,5,446,89
7,60000,6,570,95
7,60600,5,461,92
7,61200,5,447,89
7,61800,5,437,87
7,62400,5,446,89
7,63000,5,414,82
7,63600,5,424,84
7,64200,5,384,76
7,64800,4,261,65
7,65400,6,376,62
7,66000,1,64,64
7,66600,6,414,69
7,67200,8,474,59
7,67800,5,296,59
7,68400,5,299,59
7,69000,5,283,56
7,69600,5,246,49
7,70200,5,273,54
7,70800,5,259,51
7,71400,5,249,49
7,72000,5,261,52
7,72600,5,235,47
7,73200,0,0,0
7,73800,5,246,49
7,74400,0,0,0
7,75000,5,309,61
7,75600,3,185,61
7,76200,2,112,56
7,76800,5,261,52
7,77400,5,219,43
7,78000,5,197,39
7,78600,5,159,31
7,79200,5,110,22
